season,rule,p_champion_change,p_top3_change,rho_F,rho_J,drama_D,drama_D_late,upset_rate,suspense_H,suspense_H_late
22,rank,0.0,0.0,0.9268181818181822,0.9303636363636365,0.5005419226158778,0.6119433281688516,0.20111111111111113,1.0526021877222727,1.2348497648357277
22,rank_save,0.17,0.45,0.924,0.9299090909090911,0.49445465736245103,0.6113190334685602,0.14555555555555555,0.7717437520689833,1.1335565086324342
22,percent,0.23,0.82,0.9456363636363637,0.9275454545454545,0.5038183765518751,0.6202473310071911,0.30444444444444446,1.2223228134689206,1.514308737881647
22,percent_save,0.23,0.77,0.9470909090909093,0.9304545454545456,0.4907738856642249,0.5908285636498571,0.2588888888888889,1.0184355967521583,1.3934296428546726
23,rank,0.0,0.0,0.9353146853146854,0.939020979020979,0.42838929900012557,0.5441807697839102,0.118,0.9496346601024418,1.0219620578110604
23,rank_save,0.3,0.72,0.9197902097902102,0.9259440559440562,0.4158122347444597,0.4850653566513648,0.08499999999999999,0.671881848809341,0.5572154485333216
23,percent,0.3,0.81,0.9524475524475525,0.9493706293706294,0.4335175945455921,0.47643160439783155,0.23900000000000002,1.2352823611786925,1.1514700233976065
23,percent_save,0.32,0.62,0.9453146853146857,0.9488111888111888,0.425881386971814,0.450652663786366,0.132,1.0206999464207929,0.9809831165364823
24,rank,0.0,0.0,0.9467272727272728,0.894909090909091,0.765018213416441,0.7133333333333334,0.1988888888888889,1.0188270420568395,1.1120105187951557
24,rank_save,0.27,0.77,0.9088181818181821,0.9182727272727275,0.7546122909765332,0.6900701754385964,0.16777777777777778,0.8650637193200822,0.9361826525523211
24,percent,0.34,0.66,0.9620000000000001,0.8678181818181818,0.7754082407110413,0.812,0.34555555555555556,1.2354821753938723,1.3075863788230417
24,percent_save,0.35,0.47,0.9524545454545457,0.8861818181818181,0.766771198440789,0.745719298245614,0.2533333333333333,0.9535804014577645,1.0412081382759293
25,rank,0.0,0.0,0.9293333333333332,0.9488484848484847,0.33790571929183655,0.27215390309173476,0.07,1.1038541137822206,1.1577071928184306
25,rank_save,0.21,0.35,0.9349090909090908,0.9544242424242424,0.3295998353235342,0.2553739877710162,0.05,0.7236222869491233,0.5120351401043074
25,percent,0.26,0.44,0.938181818181818,0.9481212121212118,0.34133701652460036,0.27326073911696436,0.11888888888888889,1.2646543995592598,1.2102790384743252
25,percent_save,0.19,0.43,0.9303030303030303,0.9430303030303029,0.3281687801115469,0.25372014636199414,0.08444444444444445,0.9863746924122024,0.7965176726554893
26,rank,0.0,0.0,0.9370909090909089,0.9424242424242425,0.4176949564894722,0.4673751964232942,0.8833333333333333,1.4348942552115052,1.4348942552115052
26,rank_save,0.26,0.2,0.9383030303030302,0.935272727272727,0.44808936916572095,0.5011321916578863,0.9433333333333334,1.3976942615382288,1.3976942615382288
26,percent,0.28,0.32,0.9381818181818181,0.899030303030303,0.39681230717729143,0.4387569117278902,1.1066666666666667,1.5697196779450575,1.5697196779450575
26,percent_save,0.25,0.33,0.9406060606060607,0.9024242424242424,0.4001193125909429,0.4398429727661736,1.0733333333333335,1.5397453833104215,1.5397453833104215
27,rank,0.0,0.0,0.9267272727272727,0.8535454545454547,0.9523708703221564,0.9872214514471026,0.32125,1.0211985727702775,0.9936953725033103
27,rank_save,0.47,0.45,0.9031818181818183,0.8866363636363639,0.9134021669338713,0.949286022979898,0.15625,0.7742142740815561,0.8904622013632387
27,percent,0.54,0.4,0.9553636363636364,0.8290000000000002,1.0271846258952382,1.1029225061505747,0.4175,1.1740400008008793,1.2585941468791393
27,percent_save,0.59,0.44,0.9365454545454546,0.8520909090909092,0.9782318627743652,1.0335360363450583,0.31375,0.9729826649984786,1.0301499971935133
28,rank,0.0,0.0,0.9109790209790212,0.8001398601398603,0.8593630023024355,0.7579175369383037,0.263,1.02675614066387,0.8617173095977919
28,rank_save,0.39,0.22,0.9011188811188815,0.8309790209790211,0.8936968376856051,0.8669501724680866,0.19,1.0123500275637842,0.8394374444414376
28,percent,0.3,0.41,0.9090209790209792,0.7930769230769232,0.8642695287123554,0.7899370167367656,0.272,1.1058893849345894,0.8458461145361272
28,percent_save,0.32,0.4,0.8983216783216785,0.7895104895104897,0.8784980235469294,0.8165783646574402,0.244,1.1572325414505433,0.8929092447541427
29,rank,0.0,0.0,0.8945054945054945,0.9068571428571428,0.7679681486793897,0.7501443149272704,0.259,1.1191400384285775,1.3171396200201346
29,rank_save,0.28,0.65,0.8966593406593407,0.9356923076923076,0.7993545978370432,0.8001765537972687,0.175,1.1423329405933043,1.2323511411255845
29,percent,0.43,0.7,0.8957362637362638,0.8528791208791211,0.7041664614663068,0.7019097311033707,0.304,1.159708013758515,1.2455631736453068
29,percent_save,0.4,0.67,0.9055384615384615,0.8855384615384615,0.7271941933415672,0.7192787750600693,0.28300000000000003,1.2355803476747824,1.227235479349244
30,rank,0.0,0.0,0.9399450549450549,0.9018131868131871,0.8664779020240994,0.7528748240384122,0.25555555555555554,1.2386175980086747,1.343787384065318
