Dancing with the Stars - All Seasons Summary (1-34),Unnamed: 1,Unnamed: 2,Unnamed: 3,Season_Sheet,Couple,Pl,Wk1,Wk2,Wk1+2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk6+7,Wk9,Wk10N1,Wk10N2,Wk1N1,Wk1N2,Wk3+4,Wk10,Wk11N1,Wk11N2,Wk5+6,Wk7+8,Wk2N1,Wk2N2,Wk11,Wk4N1,Wk4N2,Wk4-1+2,Wk5N1,Wk5N2,Wk5-1+2,Wk10+11,Wk3N1,Wk3N2,Wk3-1+2,Wk8+9
,,,,S5,Marie & Jonathan,3rd,21,24.0,,26.0,26.0,21.0,23.0,28+24=52,24+25=49,,29+27=56,24+22=46,,,,,,,,,,,,,,,,,,,,,,,
,,,,S5,Jennie & Derek,4th,21,21.0,,26.0,27.0,25.0,27.0,25+28=53,24+26=50,,28+30=58,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S5,Cameron & Edyta,5th,21,21.0,,23.0,27.0,26.0,25.0,24+27=51,27+24=51,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S5,Jane & Tony,6th,24,21.0,,27.0,26.0,26.0,22.0,24+26=50,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S5,Sabrina & Mark,7th,26,26.0,,27.0,30.0,28.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S5,Mark & Kym,8th,21,18.0,,20.0,22.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S5,Floyd & Karina,9th,18,21.0,,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S5,Wayne & Cheryl,10th,19,15.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S5,Albert & Anna,11th,21,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S5,Josie & Alec,12th,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S6,Kristi & Mark,1st,27,27,54.0,27.0,29.0,29.0,30.0,26+28=54,29+26=55,,29+28=57,30+30=60,+30=90,,,,,,,,,,,,,,,,,,,,,,
,,,,S6,Jason & Edyta,2nd,22,27,49.0,23.0,29.0,27.0,24.0,29+26=55,29+23=52,,28+27=55,24+27=51,+30=81,,,,,,,,,,,,,,,,,,,,,,
,,,,S6,Cristián & Cheryl,3rd,21,20,41.0,25.0,26.0,23.0,27.0,25+21=46,28+29=57,,27+29=56,26+26=52,,,,,,,,,,,,,,,,,,,,,,,
,,,,S6,Marissa & Tony,4th,18,21,39.0,19.0,24.0,24.0,26.0,27+25=52,25+25=50,,26+26=52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S6,Mario & Karina,5th,24,26,50.0,21.0,24.0,27.0,28.0,24+27=51,27+26=53,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S6,Shannon & Derek,6th,21,24,45.0,24.0,28.0,23.0,24.0,27+24=51,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S6,Marlee & Fabian,7th,22,24,46.0,21.0,24.0,22.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S6,Priscilla & Louis,8th,24,21,45.0,26.0,22.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S6,Adam & Julianne,9th,15,19,34.0,21.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S6,Steve & Anna,10th,18,16,34.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S6,Monica & Jonathan,11th,15,15,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S6,Penn & Kym,12th,16,17,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S7,Brooke & Derek,1st,,24.0,49.0,28.0,26.0,29.0,26.0,30+29=59,28+27=55,,21+28=49,28+30=58,+30=88,23.0,26.0,54.0,,,,,,,,,,,,,,,,,,,
,,,,S7,Warren & Kym,2nd,,24.0,43.0,25.0,22.0,25.0,25.0,21+29=50,28+26=54,,24+25=49,25+28=53,+27=80,21.0,22.0,47.0,,,,,,,,,,,,,,,,,,,
,,,,S7,Lance & Lacey,3rd,,20.0,43.0,22.0,26.0,21.0,27.0,25+20=45,26+24=50,,28+29=57,26+27=53,+28=81,22.0,21.0,48.0,,,,,,,,,,,,,,,,,,,
,,,,S7,Cody & Julianne,4th,,21.0,41.0,21.0,23.0,28.0,23.0,22+20=42,24+24=48,,22+24=46,,,18.0,23.0,44.0,,,,,,,,,,,,,,,,,,,
,,,,S7,Maurice & Cheryl,5th,,19.0,39.0,24.0,20.0,27.0,21.0,25+29=54,24+24=48,,,,,18.0,21.0,44.0,,,,,,,,,,,,,,,,,,,
,,,,S7,Susan & Tony,6th,,21.0,37.0,21.0,24.0,22.0,23.0,24+20=44,,,,,,15.0,22.0,45.0,,,,,,,,,,,,,,,,,,,
,,,,S7,Cloris & Corky,7th,,15.0,32.0,16.0,22.0,21.0,15.0,,,,,,,16.0,16.0,38.0,,,,,,,,,,,,,,,,,,,
,,,,S7,Toni & Alec,8th,,23.0,45.0,22.0,22.0,22.0,,,,,,,,22.0,23.0,44.0,,,,,,,,,,,,,,,,,,,
,,,,S7,Rocco & Karina,9th,,16.0,35.0,20.0,18.0,,,,,,,,,14.0,21.0,38.0,,,,,,,,,,,,,,,,,,,
,,,,S7,Misty & Maks,10th,,21.0,42.0,,,,,,,,,,,21.0,21.0,,,,,,,,,,,,,,,,,,,,
,,,,S7,Kim & Mark,11th,,17.0,37.0,,,,,,,,,,,19.0,18.0,,,,,,,,,,,,,,,,,,,,
,,,,S7,Ted & Inna,12th,,,37.0,,,,,,,,,,,18.0,19.0,,,,,,,,,,,,,,,,,,,,
,,,,S7,Jeffrey & Edyta,13th,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
,,,,S8,Shawn & Mark,1st,23,24,47.0,27.0,25.0,26.0,26.0,28.0,27+25=52,,27+29=56,,,,,,30+26=56,28+30=58,+30=88,,,,,,,,,,,,,,,,
,,,,S8,Gilles & Cheryl,2nd,24,27,51.0,27.0,30.0,29.0,26.0,27.0,27+28=55,,29+27=56,,,,,,30+30=60,30+28=58,+30=88,,,,,,,,,,,,,,,,
,,,,S8,Melissa & Tony,3rd,23,26,49.0,27.0,29.0,25.0,27.0,29.0,21+25=46,,27+30=57,,,,,,28+27=55,29+27=56,+30=86,,,,,,,,,,,,,,,,
,,,,S8,Ty & Chelsie,4th,14,20,34.0,23.0,25.0,21.0,18.0,24.0,24+28=52,,25+21=46,,,,,,25+23=48,,,,,,,,,,,,,,,,,,
,,,,S8,Lil' Kim & Derek,5th,21,23,44.0,25.0,27.0,26.0,28.0,26.0,28+28=56,,25+27=52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S8,Chuck & Julianne,6th,20,20,40.0,23.0,22.0,23.0,23.0,27.0,26+25=51,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S8,Lawrence & Edyta,7th,16,20,36.0,20.0,19.0,20.0,22.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S8,Steve-O & Lacey,8th,17,14,31.0,15.0,15.0,18.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S8,David & Kym,9th,19,17,36.0,24.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S8,Steve & Karina,10th,13,17,30.0,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S8,Holly & Dmitry,11th,18,18,36.0,17.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S8,Denise & Maks,12th,18,21,39.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S8,Belinda & Jonathan,13th,17,18,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Donny & Kym,1st,20+10=30,25.0,,21.0,24.0,29.0,24+7=31,24+28=52,26+24=50,,21+26+27=74,27+28+30=85,+30=115,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Mýa & Dmitry,2nd,21+10=31,27.0,,27.0,28.0,27.0,24+9=33,25+24=49,29+30=59,,28+30+29=87,30+30+27=87,+28=115,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Kelly & Louis,3rd,23+8=31,19.0,,20.0,23.0,24.0,20+5=25,24+28=52,25+26=51,,24+27+27=78,26+26+24=76,+26=102,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Joanna & Derek,4th,24+10=34,20.0,,23.0,26.0,24.0,26+10=36,27+28=55,23+29=52,,27+27+27=81,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Aaron & Karina,5th,22+10=32,27.0,,21.0,18.0,24.0,25+8=33,29+24=53,23+27=50,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Mark & Lacey,6th,21+8=29,21.0,,18.0,22.0,26.0,26+6=32,19+24=43,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Michael & Anna D.,7th,13+6=19,20.0,,14.0,16.0,21.0,20+2=22,23+24=47,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Louie & Chelsie,8th,19+8=27,19.0,,20.0,16.0,22.0,21+3=24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Melissa & Mark,9th,18+6=24,19.0,,19.0,28.0,23.0,20+4=24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Natalie & Alec,10th,19+8=27,21.0,,26.0,24.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Chuck & Anna T.,11th,16+6=22,19.0,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Debi & Maks,12th,16+6=22,21.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Tom & Cheryl,13th,16+4=20,18.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Kathy & Tony,14th,16+4=20,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Macy & Jonathan,15th,15+4=19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,Ashley & Edyta,16th,15+4=19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S10,Nicole & Derek,1st,25,28,53.0,23.0,25+25=50,29.0,26+10=36,27+27=54,29+30=59,,30+29=59,28+27+30=85,+30=115,,,,,,,,,,,,,,,,,,,,,,
,,,,S10,Evan & Anna,2nd,23,24,47.0,26.0,26+26=52,27.0,21+6=27,30+24=54,27+26=53,,29+30=59,28+24+28=80,+28=108,,,,,,,,,,,,,,,,,,,,,,
,,,,S10,Erin & Maks,3rd,21,23,44.0,23.0,18+21=39,22.0,25+9=34,27+24=51,28+25=53,,27+29=56,29+26+26=81,,,,,,,,,,,,,,,,,,,,,,,
,,,,S10,Chad & Cheryl,4th,18,16,34.0,20.0,21+23=44,18.0,24+7=31,25+27=52,21+24=45,,27+25=52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S10,Niecy & Louis,5th,18,21,39.0,21.0,18+18=36,18.0,21+5=26,25+24=49,23+20=43,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S10,Pamela & Damian,6th,21,22,43.0,21.0,23+24=47,21.0,22+8=30,24+27=51,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S10,Jake & Chelsie,7th,20,20,40.0,21.0,19+19=38,23.0,21+4=25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S10,Kate & Tony,8th,16,15,31.0,15.0,14+18=32,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S10,Aiden & Edyta,9th,15,19,34.0,20.0,15+18=33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S10,Buzz & Ashly,10th,14,12,26.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S10,Shannen & Mark,11th,18,20,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Jennifer & Derek,1st,24,24.0,,24.0,27+29=56,25.0,20+9=29,27+37=64,27+30=57,,30+30=60,30+30=60,+30+28=118,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Kyle & Lacey,2nd,23,22.0,,23.0,18+22=40,20.0,23+7=30,24+35=59,27+29=56,,29+29=58,27+29=56,+26+28=110,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Bristol & Mark,3rd,18,22.0,,19.0,18+14=32,18.0,23+5=28,24+33=57,24+23=47,,27+26=53,27+25=52,+25+27=104,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Brandy & Maks,4th,23,21.0,,24.0,22+26=48,27.0,26+10=36,27+37=64,29+28=57,,27+30=57,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Kurt & Anna,5th,19,21.0,,23.0,15+19=34,24.0,18+4=22,27+34=61,24+24=48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Rick & Cheryl,6th,22,21.0,,24.0,19+20=39,24.0,24+6=30,24+37=61,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Audrina & Tony,7th,19,23.0,,26.0,24+22=46,23.0,24+8=32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Florence & Corky,8th,18,19.0,,20.0,17+18=35,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,The Situation & Karina,9th,15,18.0,,20.0,12+16=28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Margaret & Louis,10th,15,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,Michael & Chelsie,11th,16,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S11,David & Kym,12th,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Hines & Kym,1st,21,23,44.0,25.0,25.0,27.0,27.0,30+36=66,28+26=54,,30+30=60,29+30=59,+30=89,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Kirstie & Maks,2nd,23,20,43.0,21.0,22.0,23.0,26.0,30+30=60,28+25=53,,27+27=54,27+27=54,+30=84,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Chelsea & Mark,3rd,21,18,39.0,23.0,26.0,26.0,28.0,30+34=64,29+26=55,,28+30+15=73,29+30=59,+30=89,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Ralph & Karina,4th,24,21,45.0,21.0,25.0,22.0,24.0,30+36=66,25+21=46,,25+23=48,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S12,Romeo & Chelsie,5th,19,23,42.0,20.0,23.0,26.0,28.0,30+30=60,27+25=52,,,,,,,,,,,,,,,,,,,,,,,,,,
